etiquetas,Area,Eccentricity,Solidity,Extent,Perimeter,MajorAxisLength,MinorAxisLength,Circularity,Elongation,roundnessCH,convexity,circleVariance,ellipVariance,Mean_Green,Mean_Red,Mean_Blue,Std_Green,Std_Red,Std_Blue,Skewness_G,Skewness_R,Skewness_B,Kurtosis_G,Kurtosis_R,Kurtosis_B,Entropy_G,Entropy_R,Entropy_B
Drepanocits,49102,0.89643748,0.989859893,0.766452298,881.706,376.5118491,166.858839,0.793709272,0.55682978,0.793277354,1.0002722,0.276133994,0.103152328,36682.26467,38154.84762,40788.81773,3275.881444,2695.816523,3372.995731,0.535645944,0.311529082,0.466718952,2.398121016,2.554637043,2.43934239,5.566492248,5.399147576,5.664946947
Drepanocits,47888,0.854299179,0.991634225,0.725850701,838.126,342.8544278,178.2094236,0.856678637,0.480218399,0.855192343,1.000868604,0.226761221,0.065334365,37343.19679,37960.50618,41332.52188,3431.515401,2530.205004,3586.067702,0.748065864,0.410345585,0.466982003,2.809056288,2.907057983,2.306804749,5.599118692,5.313860785,5.72364746
Drepanocits,38226,0.965385141,0.979174671,0.545228926,936.704,435.0799692,113.4812749,0.547474594,0.739171456,0.547474594,1,0.413123137,0.057340637,40797.64474,41405.90425,45203.73358,2348.755406,1925.002055,2507.724453,0.409210842,0.109099911,0.363423114,2.541581,3.187654636,2.478096694,5.1814264,4.945347543,5.278194443
Drepanocits,50034,0.91878879,0.98583335,0.580003478,922.594,402.3484746,158.8268553,0.738675741,0.60525051,0.741611644,0.99801863,0.305335961,0.046712391,39144.19379,40780.25375,42492.78906,2840.443988,2392.363935,2878.509437,0.626059136,0.260489793,0.461161796,2.945679003,3.238611915,2.647657217,5.425857705,5.233146274,5.468556046
Drepanocits,62347,0.897566698,0.987800434,0.780811281,1009.373,427.0534336,188.2787603,0.768992418,0.559121305,0.773321165,0.99719727,0.283170683,0.035065701,34574.83593,36427.67658,40659.35824,3656.926483,2869.435942,3227.127137,0.649933629,0.307375818,0.345146966,3.063078752,2.783531881,2.471924367,5.77654417,5.503361413,5.643278772
Drepanocits,37953,0.89690122,0.990655425,0.80682398,778.659,332.2252594,146.9202875,0.786613434,0.557769064,0.786312476,1.000191355,0.280338071,0.041319448,39681.87853,40895.87016,42154.71051,3031.117957,2691.432249,2866.246908,0.883259812,0.225450311,0.637576643,3.230323047,2.702050676,3.098526942,5.433225877,5.412788949,5.451254988
Drepanocits,43712,0.80765932,0.94449126,0.689050727,841.267,310.7426923,183.2292443,0.776144948,0.410350593,0.819999336,0.972892078,0.201353579,0.16146356,41493.08016,42013.51135,44751.95315,2213.983915,1709.191709,2190.890935,0.653186197,-0.02457524,0.333426363,3.311570555,2.91354858,3.049332352,5.085954729,4.779298267,5.120682738
Drepanocits,59017,0.668486773,0.994472997,0.755852971,876.688,318.1100329,236.5860761,0.964932356,0.256275969,0.964131577,1.000415199,0.107788724,0.040588951,43583.89318,43104.4701,46444.69383,2108.642637,1776.912209,2107.745376,0.560496769,0.091254532,0.187534159,2.973552483,2.898523294,2.607181631,5.019250497,4.834917579,5.065763547
Drepanocits,42636,0.962169195,0.987035837,0.57134434,965.69,446.7611195,121.7212453,0.574527537,0.727547363,0.574094666,1.000376933,0.398954216,0.048415659,40775.98649,41632.03715,43779.96435,2309.621152,1968.255316,2418.922814,0.048309389,-0.023406121,0.068208505,2.230795218,2.701368571,2.414427853,5.168391904,4.980101904,5.258829862
Drepanocits,56679,0.921431006,0.986837294,0.666811765,1009.316,432.6324374,168.0958809,0.699161858,0.611457981,0.701701297,0.998188872,0.316541305,0.077683032,35829.8838,38290.51606,40795.11269,4346.880358,3483.403155,3840.641254,-0.003402092,-0.181721067,-0.036106912,1.883679407,2.135260118,1.946157378,5.995711112,5.734760849,5.842901736
